"","Gp20"
"1","16T1_lib200772_4_83"
"2","17T1_lib200766_3_13"
"3","2_lib200757_5_27"
"4","30T1_lib200751_4_86"
"5","3300006257_____Ga0099346_100106_69"
"6","3300006312_____Ga0099626_100158_54"
"7","3300006463_____Ga0100176_1000099_64"
"8","3300006476_____Ga0100233_100198_8"
"9","3300006746_____Ga0101796_100038_55"
"10","3300006747_____Ga0101801_100090_35"
"11","3300007098_____Ga0102540_100090_14"
"12","3300007105_____Ga0102630_100105_70"
"13","3300007210_____Ga0103359_100138_98"
"14","3300007222_____Ga0104061_100253_14"
"15","3300007296_____Ga0104830_100137_7"
"16","3300007298_____Ga0104838_100088_82"
"17","3300007298_____Ga0104838_100096_20"
"18","3300007312_____Ga0104941_100065_13"
"19","3300007312_____Ga0104941_100072_72"
"20","3300007362_____Ga0104788_100129_10"
"21","3300007524_____Ga0105481_1000141_70"
"22","3300007705_____Ga0105636_100113_24"
"23","3300007714_____Ga0105661_1000061_21"
"24","3300007714_____Ga0105661_1000069_29"
"25","3300007796_____Ga0105889_100147_39"
"26","3300007797_____Ga0105663_100162_44"
"27","3300007804_____Ga0105665_100100_65"
"28","3300007806_____Ga0105890_100137_27"
"29","3300007853_____Ga0114093_100213_47"
"30","3300007921_____Ga0111562_100099_70"
"31","3300007991_____Ga0105643_100224_99"
"32","3300008098_____Ga0114255_100096_30"
"33","3300008101_____Ga0114024_100210_75"
"34","3300008101_____Ga0114024_100218_22"
"35","3300008103_____Ga0114180_100162_60"
"36","3300008103_____Ga0114180_100183_75"
"37","3300008132_____Ga0111230_1000069_21"
"38","3300008268_____Ga0111491_1000143_32"
"39","3300008299_____Ga0114868_1000151_38"
"40","3300008326_____Ga0115311_100028_60"
"41","3300008360_____Ga0114875_1000146_67"
"42","3300008361_____Ga0115082_100173_17"
"43","3300008479_____Ga0114883_1000181_50"
"44","3300008497_____Ga0111011_100058_97"
"45","3300008497_____Ga0111011_100059_6"
"46","3300008513_____Ga0111022_100102_44"
"47","3300008513_____Ga0111022_100109_16"
"48","3300008520_____Ga0111044_100220_87"
"49","3300008523_____Ga0115231_1000091_13"
"50","3300008523_____Ga0115231_1000095_2"
"51","3300008561_____Ga0111060_100089_74"
"52","3300008705_____Ga0113869_1000095_19"
"53","3300008712_____Ga0113873_100125_69"
"54","3300008716_____Ga0113874_100156_87"
"55","3300008716_____Ga0113874_100160_52"
"56","3300008725_____Ga0115670_1000139_16"
"57","3300008737_____Ga0113999_100109_17"
"58","3300011980_____Ga0119777_1000092_27"
"59","3300013752_____Ga0117817_1000004_81"
"60","3300013899_____Ga0117808_100015_78"
"61","3300013946_____Ga0117818_1000018_71"
"62","3300014536_____Ga0134370_100043_23"
"63","3300014537_____Ga0134397_100086_23"
"64","3300014538_____Ga0134452_100100_102"
"65","3300014541_____Ga0134391_100054_77"
"66","3300014547_____Ga0134415_100047_29"
"67","3300014553_____Ga0134451_100057_97"
"68","3300014712_____Ga0134412_100037_56"
"69","3300014744_____Ga0134393_100057_55"
"70","3300014750_____Ga0134554_100011_3"
"71","3300014788_____Ga0134381_1000049_79"
"72","3300014788_____Ga0134381_1000061_69"
"73","3300014919_____Ga0169798_100120_92"
"74","3300014921_____Ga0169822_100099_10"
"75","3300014936_____Ga0169833_100099_70"
"76","3300014944_____Ga0134440_100138_48"
"77","3300014951_____Ga0169829_100159_11"
"78","3300014963_____Ga0134523_1000562_21"
"79","3300014971_____Ga0134442_1000062_15"
"80","4_lib200738_4_14"
"81","5_lib200737_3_8"
"82","A1_NODE_2_length_99974_cov_261.284550_18"
"83","A2_NODE_3_length_92367_cov_12.069243_66"
"84","B7_NODE_1_length_96266_cov_47.336375_67"
"85","CF1_ms_1_13"
"86","CS_crAss_ms_9_20"
"87","CYGL01000011_83"
"88","CYGL01000011_84"
"89","E11_NODE_1_length_96694_cov_1258.521291_84"
"90","E12_NODE_1_length_99984_cov_69.391838_18"
"91","EM181_T3_ms_1_10"
"92","EM195_T0_ms_1_58"
"93","EM200_T3_ms_2_24"
"94","EM210_T0_ms_1_80"
"95","EM245_T3_ms_3_68"
"96","ERR1474586_NODE_12_length_98573_cov_38.9867_3"
"97","ERR589374_NODE_27_length_93583_cov_10.8628_74"
"98","ERR589416_NODE_29_length_99679_cov_9.83461_23"
"99","ERR589435_NODE_36_length_99566_cov_205.441_47"
"100","ERR589440_NODE_115_length_101302_cov_10.743_59"
"101","ERR589440_NODE_121_length_98649_cov_14.7648_35"
"102","ERR589443_NODE_109_length_97897_cov_28.0204_75"
"103","ERR589501_NODE_177_length_99851_cov_54.2955_81"
"104","ERR589503_NODE_236_length_100385_cov_32.3335_59"
"105","ERR589503_NODE_243_length_99288_cov_256.502_18"
"106","ERR589503_NODE_260_length_95985_cov_44.2112_91"
"107","ERR589507_NODE_257_length_101328_cov_39.4151_103"
"108","ERR589508_NODE_269_length_100215_cov_352.186_85"
"109","ERR589509_NODE_117_length_99450_cov_1258.73_78"
"110","ERR589510_NODE_145_length_103800_cov_202.558_59"
"111","ERR589510_NODE_191_length_93028_cov_96.5392_80"
"112","ERR589511_NODE_176_length_103722_cov_62.3391_6"
"113","ERR589511_NODE_212_length_96153_cov_11.9872_5"
"114","ERR589512_NODE_245_length_104299_cov_30.5927_7"
"115","ERR589512_NODE_279_length_97295_cov_607.21_81"
"116","ERR589512_NODE_313_length_91996_cov_59.3944_80"
"117","ERR589515_NODE_62_length_98789_cov_7.45893_78"
"118","ERR589530_NODE_123_length_101106_cov_84.032_84"
"119","ERR589530_NODE_125_length_100283_cov_10.4903_90"
"120","ERR589531_NODE_142_length_100626_cov_28.4295_72"
"121","ERR589531_NODE_143_length_100354_cov_37.9907_68"
"122","ERR589532_NODE_103_length_94606_cov_18.1916_82"
"123","ERR589532_NODE_107_length_92376_cov_180.077_13"
"124","ERR589534_NODE_206_length_99607_cov_6.90286_90"
"125","ERR589535_NODE_102_length_100207_cov_5.55539_85"
"126","ERR589544_NODE_118_length_99073_cov_42.2977_53"
"127","ERR589544_NODE_125_length_95272_cov_31.2325_54"
"128","ERR589546_NODE_210_length_100947_cov_66.8087_19"
"129","ERR589547_NODE_77_length_93544_cov_5.56366_82"
"130","ERR589548_NODE_124_length_99386_cov_102.27_63"
"131","ERR589548_NODE_125_length_99181_cov_12.0749_66"
"132","ERR589548_NODE_133_length_97812_cov_182.454_72"
"133","ERR589553_NODE_133_length_100933_cov_7.87827_96"
"134","ERR589556_NODE_251_length_91714_cov_17.3214_28"
"135","ERR589556_NODE_264_length_89939_cov_50.5214_57"
"136","ERR589557_NODE_190_length_93533_cov_205.404_76"
"137","ERR589572_NODE_244_length_101458_cov_12.5176_20"
"138","ERR589574_NODE_209_length_103257_cov_462.529_52"
"139","ERR589574_NODE_216_length_101924_cov_7.87122_26"
"140","ERR589574_NODE_223_length_98544_cov_57.8223_24"
"141","ERR589581_NODE_202_length_103948_cov_381.764_31"
"142","ERR589581_NODE_234_length_95666_cov_16.3843_77"
"143","ERR589587_NODE_208_length_94701_cov_61.0326_7"
"144","ERR589589_NODE_144_length_94594_cov_10.8503_7"
"145","ERR589590_NODE_63_length_103443_cov_7.99528_73"
"146","ERR589590_NODE_72_length_96711_cov_28.1345_20"
"147","ERR589595_NODE_199_length_96043_cov_11.5603_57"
"148","ERR589646_NODE_117_length_99498_cov_73.739_21"
"149","ERR589663_NODE_96_length_98184_cov_12.727_7"
"150","ERR589736_NODE_224_length_101034_cov_15.6328_50"
"151","ERR589736_NODE_256_length_95610_cov_126.638_80"
"152","ERR589736_NODE_271_length_93891_cov_9.13972_10"
"153","ERR589737_NODE_227_length_97168_cov_1455.68_32"
"154","ERR589737_NODE_250_length_92638_cov_199.421_27"
"155","ERR589741_NODE_169_length_97150_cov_107.747_59"
"156","ERR589742_NODE_186_length_98834_cov_12.9141_76"
"157","ERR589742_NODE_210_length_93989_cov_9.62045_82"
"158","ERR589742_NODE_219_length_92594_cov_6.88142_29"
"159","ERR589743_NODE_221_length_96840_cov_12.3063_40"
"160","ERR589744_NODE_93_length_99741_cov_30.0888_98"
"161","ERR589746_NODE_107_length_101040_cov_2232.8_68"
"162","ERR589746_NODE_110_length_100335_cov_36.0815_84"
"163","ERR589746_NODE_113_length_99784_cov_98.0259_84"
"164","ERR589747_NODE_92_length_102397_cov_78.8019_99"
"165","ERR589748_NODE_153_length_93284_cov_4.95169_49"
"166","ERR589750_NODE_144_length_100756_cov_12.0751_23"
"167","ERR589750_NODE_148_length_99248_cov_188.387_64"
"168","ERR589762_NODE_119_length_102762_cov_954.227_23"
"169","ERR589770_NODE_113_length_99553_cov_1902.21_102"
"170","ERR589773_NODE_168_length_99796_cov_16.6781_49"
"171","ERR589773_NODE_178_length_95143_cov_627.55_83"
"172","ERR589774_NODE_217_length_97586_cov_21.2143_35"
"173","ERR589777_NODE_213_length_102559_cov_114.718_23"
"174","ERR589778_NODE_168_length_88342_cov_15.7402_6"
"175","ERR589785_NODE_186_length_100996_cov_197.8_94"
"176","ERR589786_NODE_135_length_99040_cov_1290.66_23"
"177","ERR589786_NODE_141_length_97052_cov_8.96347_75"
"178","ERR589788_NODE_101_length_102104_cov_7.47886_83"
"179","ERR589788_NODE_122_length_95274_cov_10.0565_88"
"180","ERR589795_NODE_175_length_98608_cov_1204.76_21"
"181","ERR589797_NODE_176_length_100385_cov_85.2729_33"
"182","ERR589800_NODE_173_length_93705_cov_28.9131_24"
"183","ERR589801_NODE_173_length_98624_cov_58.2029_23"
"184","ERR589802_NODE_149_length_99518_cov_80.1538_41"
"185","ERR589804_NODE_183_length_96082_cov_14.9851_89"
"186","ERR589807_NODE_175_length_98624_cov_2094.64_56"
"187","ERR589811_NODE_183_length_95797_cov_1140.66_19"
"188","ERR589813_NODE_172_length_99988_cov_9.80768_5"
"189","ERR589813_NODE_178_length_98616_cov_51.5115_15"
"190","ERR589814_NODE_185_length_102005_cov_6.51113_28"
"191","ERR589817_NODE_85_length_101984_cov_21.9381_26"
"192","ERR589818_NODE_123_length_100672_cov_68.5318_100"
"193","ERR589821_NODE_65_length_97126_cov_5571.81_23"
"194","ERR589826_NODE_104_length_99479_cov_523.136_62"
"195","ERR589826_NODE_120_length_94996_cov_27.1679_48"
"196","ERR589826_NODE_133_length_91808_cov_9.52867_25"
"197","ERR589827_NODE_122_length_98326_cov_41.0203_24"
"198","ERR589829_NODE_91_length_101338_cov_9.01626_13"
"199","ERR589831_NODE_127_length_97341_cov_28.7607_92"
"200","ERR589835_NODE_174_length_96977_cov_65.8124_38"
"201","ERR589835_NODE_192_length_92466_cov_11.6977_33"
"202","ERR589836_NODE_113_length_104455_cov_284.662_53"
"203","ERR589836_NODE_124_length_100491_cov_5.94573_94"
"204","ERR589836_NODE_132_length_97990_cov_15.6475_45"
"205","ERR589843_NODE_134_length_102073_cov_9.78706_38"
"206","ERR589848_NODE_158_length_99263_cov_37.5295_46"
"207","ERR589848_NODE_206_length_90462_cov_52.7397_29"
"208","ERR589851_NODE_110_length_101537_cov_76.3839_103"
"209","ERR589852_NODE_269_length_93435_cov_9.78746_82"
"210","ERR589853_NODE_110_length_92253_cov_12.0089_26"
"211","ERR589856_NODE_160_length_99420_cov_996.622_19"
"212","ERR589858_NODE_148_length_100421_cov_4.84912_79"
"213","ERR589861_NODE_167_length_96714_cov_11.2032_13"
"214","ERR589874_NODE_149_length_91639_cov_83.8167_38"
"215","ERR843936_ms_1_13"
"216","ERR843949_ms_3_46"
"217","ERR843983_ms_1_13"
"218","ERR844006_ms_1_13"
"219","ERR844016_ms_1_24"
"220","ERR844018_ms_1_13"
"221","ERR844018_ms_3_57"
"222","ERR844029_ms_3_96"
"223","ERR844030_ms_1_35"
"224","ERR844030_ms_2_10"
"225","ERR844035_ms_1_32"
"226","ERR844040_ms_1_18"
"227","ERR844045_ms_1_19"
"228","ERR844046_ms_1_75"
"229","ERR844047_ms_3_81"
"230","ERR844054_ms_1_75"
"231","ERR844065_ms_1_83"
"232","ERR844067_ms_2_14"
"233","ERR844070_ms_2_66"
"234","ERR844077_ms_1_77"
"235","ERR844077_ms_2_90"
"236","F10_NODE_1_length_96892_cov_1695.602518_80"
"237","F2M.1.NODE_1_length_97876_cov_8.385428_57"
"238","F2T1.2.NODE_1_length_97120_cov_58.884747_79"
"239","F3T1.2.NODE_1_length_93869_cov_36.327307_13"
"240","F4_NODE_1_length_100650_cov_839.811104_81"
"241","F4T2.1.NODE_1_length_94988_cov_32.078160_75"
"242","F5_NODE_4_length_98190_cov_172.956947_77"
"243","F6_NODE_4_length_91062_cov_72.306460_10"
"244","F7_NODE_3_length_95675_cov_221.603744_13"
"245","Fferm_ms_11_26"
"246","G10_NODE_3_length_100255_cov_4594.188553_73"
"247","G3_WGS_contig_51_2_length_97737_read_count_6388982_83"
"248","HvCF_A11_ms_1_16"
"249","HvCF_A3_ms_37_62"
"250","HvCF_B1_ms_5_9"
"251","HvCF_B1_ms_8_75"
"252","HvCF_B5_ms_2_19"
"253","HvCF_C7_ms_2_24"
"254","HvCF_D1_ms_1_43"
"255","HvCF_D10_ms_2_23"
"256","HvCF_D5_ms_2_82"
"257","HvCF_D5_ms_4_70"
"258","HvCF_D6_ms_5_77"
"259","HvCF_E10_ms_1_13"
"260","HvCF_E4_ms_4_69"
"261","HvCF_E5_ms_1_78"
"262","HvCF_E6_ms_1_13"
"263","HvCF_E8_ms_1_21"
"264","HvCF_F2_ms_2_20"
"265","Kramna_8050_NODE_1_length_101977_cov_494.593140_19"
"266","Long_crAss_ms_1_10"
"267","Long_crAss_ms_14_63"
"268","Long_crAss_ms_15_79"
"269","Long_crAss_ms_16_15"
"270","Long_crAss_ms_2_19"
"271","Long_crAss_ms_29_15"
"272","Long_crAss_ms_3_6"
"273","Long_crAss_ms_5_51"
"274","Long_crAss_ms_9_69"
"275","LULO01000006_6"
"276","Minot_Diet_SRR5088942_NODE_4_length_100761_cov_141.068467_71"
"277","Minot_Diet_SRR5088943_NODE_11_length_102278_cov_7748.066824_14"
"278","Minot_Diet_SRR5088943_NODE_15_length_93463_cov_32.895405_7"
"279","MN005_S5_30_55"
"280","MN010_S10_18_38"
"281","MN019_S19_74_84"
"282","MN031_S31_71_43"
"283","MN037_S1_79_53"
"284","MN037_S1_80_81"
"285","MN038_S2_110_5"
"286","MN045_S8_84_4"
"287","MN045_S8_88_65"
"288","MN050_S13_78_18"
"289","MN057_S20_62_83"
"290","MN072_S35_47_78"
"291","MN099_S58_106_23"
"292","MN100_S59_88_76"
"293","Monaco_MBA1011_NODE_4_length_90515_cov_66.014658_6"
"294","Monaco_MBA1312_NODE_2_length_103515_cov_88.886246_27"
"295","Monaco_MBA4038_NODE_3_length_106353_cov_62.035654_94"
