"","length","GCcomp","trans_tbl","circular","CRISPR_hit","Genus","Species","Health_status","Location","tRNA_freq","tmRNA_freq","Study","Habitat","family","nomen_family","nomen_subfamily","nomen_genus","nomen_species","type_strain","clusters_ward","clusters_pam","orthologs_shared_clusters","ani_clusters"
"16t1_lib200772_4",93865,0.332,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Lewis_etal_unpublished","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"17t1_lib200766_3",95265,0.293,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Lewis_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"2_lib200757_5",91816,0.265,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Lewis_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Dabirmavirus","hominis",FALSE,3,3,26,9
"30t1_lib200751_4",94410,0.314,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"Lewis_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","intestinihominis",FALSE,11,4,1,12
"3300006257_____ga0099346_100106",97942,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"3300006312_____ga0099626_100158",95218,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"3300006463_____ga0100176_1000099",104584,0.358,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Oafivirinae","Burzaovirus","coli",FALSE,8,5,11,7
"3300006476_____ga0100233_100198",89582,0.317,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"3300007098_____ga0102540_100090",99632,0.333,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus","hiberniae",FALSE,7,7,8,16
"3300007105_____ga0102630_100105",96419,0.332,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"3300007210_____ga0103359_100138",100492,0.333,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10
"3300007222_____ga0104061_100253",88754,0.252,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Endlipuvirus","intestinihominis",FALSE,3,3,28,17
"3300007296_____ga0104830_100137",95469,0.328,11,TRUE,"Odoribacter_splanchnicus","Odoribacter","splanchnicus",NA,NA,0,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"3300007298_____ga0104838_100088",98560,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"3300007298_____ga0104838_100096",94455,0.327,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"3300007312_____ga0104941_100065",104528,0.364,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,22,0,"IMGVR","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Lebriduvirus","gastrointestinalis",FALSE,6,9,43,18
"3300007312_____ga0104941_100072",102036,0.325,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,4,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Birpovirus","hominis",FALSE,12,10,4,19
"3300007705_____ga0105636_100113",98293,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"3300007714_____ga0105661_1000061",101342,0.328,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23
"3300007714_____ga0105661_1000069",96180,0.29,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"3300007796_____ga0105889_100147",93169,0.327,11,TRUE,"Odoribacter_splanchnicus","Odoribacter","splanchnicus",NA,NA,0,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"3300007804_____ga0105665_100100",97478,0.314,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","intestinihominis",FALSE,11,4,1,12
"3300007806_____ga0105890_100137",90950,0.25,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Endlipuvirus","intestinihominis",FALSE,3,3,28,17
"3300007853_____ga0114093_100213",93843,0.308,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","copri",FALSE,2,1,37,25
"3300007921_____ga0111562_100099",93867,0.327,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"3300007991_____ga0105643_100224",97685,0.327,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,4,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23
"3300008101_____ga0114024_100210",101977,0.335,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10
"3300008103_____ga0114180_100162",102810,0.361,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Oafivirinae","Burzaovirus","intestinihominis",FALSE,8,5,11,29
"3300008103_____ga0114180_100183",95906,0.325,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
"3300008132_____ga0111230_1000069",93534,0.333,11,TRUE,"Odoribacter_splanchnicus","Odoribacter","splanchnicus",NA,NA,0,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"3300008299_____ga0114868_1000151",92667,0.318,11,TRUE,"Alistipes_finegoldii","Alistipes","finegoldii",NA,NA,3,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"3300008326_____ga0115311_100028",94924,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"3300008360_____ga0114875_1000146",100899,0.328,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23
"3300008479_____ga0114883_1000181",94500,0.334,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"3300008497_____ga0111011_100059",97203,0.326,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,2,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
