"","length","GCcomp","trans_tbl","circular","CRISPR_hit","Genus","Species","Health_status","Location","tRNA_freq","tmRNA_freq","Study","Habitat","family","nomen_family","nomen_subfamily","nomen_genus","nomen_species","type_strain","clusters_ward","clusters_pam","orthologs_shared_clusters","ani_clusters","ncbi_acc","exemplar"
"16T1_lib200772_4",93865,0.332,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Lewis_etal_unpublished","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2,NA,NA
"17T1_lib200766_3",95265,0.293,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Lewis_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"2_lib200757_5",91816,0.265,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Lewis_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Dabirmavirus","hominis",FALSE,3,3,26,9,NA,NA
"30T1_lib200751_4",94410,0.314,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"Lewis_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","intestinihominis",FALSE,11,4,1,12,NA,NA
"3300006257_____Ga0099346_100106",97942,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"3300006312_____Ga0099626_100158",95218,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"3300006463_____Ga0100176_1000099",104584,0.358,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Oafivirinae","Burzaovirus","coli",FALSE,8,5,11,7,NA,NA
"3300006476_____Ga0100233_100198",89582,0.317,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13,NA,NA
"3300006746_____Ga0101796_100038",93994,0.303,11,TRUE,"Bacteroides_fragilis","Bacteroides","fragilis",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Delmidovirus",NA,FALSE,3,3,24,14,NA,NA
"3300006747_____Ga0101801_100090",100522,0.33,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,4,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Blohavirus",NA,FALSE,7,7,9,15,NA,NA
